Source,Target,Type,Id,Label,timeset,Weight
1,20,Undirected,354,,,13
1,21,Undirected,355,,,3
1,24,Undirected,356,,,2
1,25,Undirected,357,,,26
1,27,Undirected,358,,,8
1,29,Undirected,359,,,11
1,32,Undirected,360,,,1
1,34,Undirected,361,,,4
1,36,Undirected,362,,,13
1,37,Undirected,363,,,6
1,38,Undirected,364,,,1
1,40,Undirected,365,,,3
1,42,Undirected,366,,,2
1,43,Undirected,367,,,1
2,20,Undirected,368,,,20
2,21,Undirected,369,,,18
2,22,Undirected,370,,,1
2,23,Undirected,371,,,9
2,25,Undirected,372,,,28
2,26,Undirected,373,,,3
2,27,Undirected,374,,,3
2,28,Undirected,375,,,5
2,29,Undirected,376,,,11
2,34,Undirected,377,,,1
2,36,Undirected,378,,,15
2,39,Undirected,379,,,1
2,41,Undirected,380,,,2
3,20,Undirected,381,,,14
3,21,Undirected,382,,,9
3,22,Undirected,383,,,4
3,23,Undirected,384,,,10
3,24,Undirected,385,,,18
3,28,Undirected,386,,,16
3,31,Undirected,387,,,14
3,32,Undirected,388,,,1
3,33,Undirected,389,,,2
3,34,Undirected,390,,,1
3,35,Undirected,391,,,23
3,37,Undirected,392,,,1
4,20,Undirected,393,,,23
4,21,Undirected,394,,,10
4,22,Undirected,395,,,4
4,23,Undirected,396,,,22
4,24,Undirected,397,,,8
4,28,Undirected,398,,,34
4,29,Undirected,399,,,4
4,31,Undirected,400,,,24
4,33,Undirected,401,,,24
4,34,Undirected,402,,,2
4,35,Undirected,403,,,27
5,20,Undirected,404,,,9
5,21,Undirected,405,,,6
5,23,Undirected,406,,,6
5,25,Undirected,407,,,4
5,26,Undirected,408,,,1
5,27,Undirected,409,,,13
5,28,Undirected,410,,,1
5,30,Undirected,411,,,3
6,20,Undirected,412,,,7
6,21,Undirected,413,,,2
6,24,Undirected,414,,,4
6,26,Undirected,415,,,2
6,28,Undirected,416,,,3
6,30,Undirected,417,,,5
6,32,Undirected,418,,,2
6,33,Undirected,419,,,2
7,20,Undirected,420,,,8
7,21,Undirected,421,,,6
7,25,Undirected,422,,,3
7,26,Undirected,423,,,4
7,29,Undirected,424,,,1
7,32,Undirected,425,,,1
7,37,Undirected,426,,,2
8,20,Undirected,427,,,2
8,25,Undirected,428,,,1
8,26,Undirected,429,,,1
8,28,Undirected,430,,,1
8,29,Undirected,431,,,3
8,30,Undirected,432,,,3
8,38,Undirected,433,,,1
9,20,Undirected,434,,,6
9,21,Undirected,435,,,2
9,24,Undirected,436,,,1
9,25,Undirected,437,,,1
9,26,Undirected,438,,,3
9,30,Undirected,439,,,4
10,21,Undirected,440,,,5
10,22,Undirected,441,,,5
10,23,Undirected,442,,,8
10,31,Undirected,443,,,9
10,33,Undirected,444,,,6
11,20,Undirected,445,,,3
11,22,Undirected,446,,,2
11,31,Undirected,447,,,2
11,35,Undirected,448,,,2
12,20,Undirected,449,,,2
12,21,Undirected,450,,,1
12,26,Undirected,451,,,4
12,30,Undirected,452,,,3
13,20,Undirected,453,,,5
13,22,Undirected,454,,,3
13,23,Undirected,455,,,7
13,27,Undirected,456,,,8
14,20,Undirected,457,,,6
14,22,Undirected,458,,,4
14,23,Undirected,459,,,8
15,20,Undirected,460,,,2
15,22,Undirected,461,,,2
15,24,Undirected,462,,,1
16,25,Undirected,463,,,5
16,27,Undirected,464,,,15
16,36,Undirected,465,,,10
17,20,Undirected,466,,,2
17,21,Undirected,467,,,1
17,24,Undirected,468,,,2
18,27,Undirected,469,,,1
18,29,Undirected,470,,,1
19,20,Undirected,471,,,1
