Id,Label,timeset,Polygon,Syndrome
19,19,,3,0
17,17,,3,0
12,12,,3,0
30,30,,,2
32,32,,,4
15,15,,3,0
9,9,,3,0
6,6,,3,0
26,26,,,2
8,8,,3,0
7,7,,3,0
38,38,,,3
11,11,,4,0
22,22,,,1
14,14,,3,0
27,27,,,2
13,13,,3,0
16,16,,3,0
23,23,,,1
5,5,,3,0
21,21,,,1
20,20,,,1
24,24,,,1
18,18,,3,0
33,33,,,2
1,1,,3,0
2,2,,3,0
36,36,,,2
10,10,,4,0
28,28,,,1
25,25,,,2
29,29,,,3
4,4,,4,0
3,3,,4,0
31,31,,,1
37,37,,,3
35,35,,,1
34,34,,,3
40,40,,,3
41,41,,,3
42,42,,,3
43,43,,,4
39,39,,,3
