"","d"
"Pilo_goun",0.0870684996573851
"Bauh_chei",0.109869600599462
"Ceib_glaz",0.285666228720193
"Ench_spec",0.208445059351663
"Ipom_marc",0.265958761343998
"Guet_ange",0.366920370363653
"Toco_form",0.407610228547915
"Ambu_cear",0.500337014187968
"Heli_baru",0.228839087598398
"Crot_sp",0.253786440481666
"Cere_jama",0.540421123018025
"Pseu_marg",0.306313815816232
"Indet1",0.232476097455208
"Hipp_sp",0.308948643771313
"Pipt_stip",0.0763551585328956
"Pilo_chry",0.342617618479856
"Aspi_pyri",0.400626621068713
"Comb_sp",0.291223767218696
"Anad_colu",0.294794896990733
"Cord_rig",0.0849024182417464
"Allo_sp",0.29669586237059
"Caes_sp",0.18343307057735
"Schi_bras",0.227357450604607
"Indet2",0.126962155226962
